V1	V2	V3	V4	V5	V6
-6.6833191336264	-6.21777954227086	-4.89483663959486	-4.69432748947666	-3.39514237570785	-3.53257649480542
-6.05929822052748	-5.78358389571128	-6.0199735034882	-5.67794949534608	-3.50827650863864	-3.87170296242067
-6.40363310119809	-6.057296015342	-4.70820800071807	-4.41523019808568	-3.98752717371561	-4.2797168415943
-7.07303638226384	-6.64587882800431	-5.23561108713605	-4.91238832859079	-2.06699795383882	-2.38363004850434
-5.73028287661379	-5.33851946370517	-5.72642923668312	-5.4071056260404	-4.30307970931021	-4.59735197439229
-6.72494985913792	-6.35221512596122	-2.52086510632194	-2.20926855576205	-3.39190937212021	-3.73766995705077
-7.93360386085679	-7.46436136473509	-7.43675648950159	-7.10887278214908	-2.59986072785016	-2.94414173906547
-7.0755261514692	-6.65318783910128	-7.07429256248247	-6.82499717958529	-3.75806324326998	-3.9736899794929
-7.0465668655146	-6.65670978383809	-8.17986327389537	-7.88036214097415	-3.57930131553192	-3.87106033828976
-8.69142934987752	-8.39900371768319	-5.38790391058239	-5.04458776623364	-3.49141800665299	-3.82917769413131
-6.57663431258505	-6.22753227538198	-4.57670009541606	-4.24358406545344	-2.49320099411706	-2.85098068960186
-7.42299306847586	-7.21184732305379	-6.64647548937768	-6.36242601856381	-4.70194397975258	-5.0979546243039
-7.04230921220129	-6.6265168772111	-4.07223859650959	-3.84777565881621	-4.13243867053391	-4.35198760431456
-7.35403803009535	-7.00085333509256	-6.83363982313184	-6.47698730722295	-4.03563981717458	-4.45705809067918
-7.29830850345899	-6.92960048838642	-6.07162672808235	-5.76463833255828	-4.61293466473542	-4.9809269398893
-6.47680119358646	-6.15301558299731	-5.58750355838857	-5.26886328803677	-4.71015406031498	-5.08263020390976
-6.14837793360357	-5.82744558095319	-8.17662182754717	-7.8464871680559	-3.93076735238809	-4.26020381835571
-7.7775449366125	-7.43386442009957	-5.74491262967583	-5.39107996111633	-2.86575519836233	-3.30465964709507
-5.16944048425626	-4.83648995569573	0.0453339113436191	0.379192510853245	-2.48759375879992	-2.8458311252375
-6.63079473026466	-6.20090795613728	-4.53711808360573	-4.23984530883466	-1.24862604304283	-1.5472488783688
-8.26056374514153	-7.91311255187443	-11.5849362783273	-11.2022581453882	-5.72711250580854	-6.14934768951366
-6.82225649782763	-6.44873465070494	-7.04739568140688	-6.74744291731531	-2.82827054198746	-3.09111951555825
-8.12013149359193	-7.80177548553988	-11.5314308559366	-11.1815359151268	-5.80336264961734	-6.19313828476185
-7.90185571154723	-7.57631377547343	-10.6986588682128	-10.3497230848602	-5.35593134418364	-5.79483654636383
-7.36488756892085	-7.03771389982844	-4.23136630869226	-3.89329550884764	-3.28410348575748	-3.69076568842506
-8.14198940818173	-7.78120337273082	-7.78384091854754	-7.485243507983	-4.48723637405831	-4.84819220693248
-8.26806999057378	-7.99133300165599	-11.4433306412176	-11.0635489858748	-4.71932435664893	-5.13356195566629
-7.70903017274168	-7.26960540729358	-7.68028210426186	-7.37044685801819	-3.46045572126879	-3.73814897955661
-6.38805345383653	-5.99063471267729	-6.28726740289253	-5.9642168827012	-3.33641899997788	-3.68231265118663
-6.69869868855567	-6.33754418923786	-6.70670966714056	-6.34920515956481	-4.59274290151335	-5.03445246229506
-6.39103699282285	-6.06494987726292	-8.5715130007822	-8.28385516824686	-5.90374685775195	-6.23892202606112
-5.97378016944294	-5.6350616405677	-3.9240615354022	-3.57739056068607	-3.85855776349331	-4.18830564004841
-7.74009808576398	-7.33507936692299	-9.93843111436762	-9.63692534096872	-3.83861617853698	-4.14823661023206
-7.68735468987469	-7.28162115649561	-8.31969557246677	-8.00493284442964	-3.54732326815836	-3.87694407314997
-6.44581145288016	-6.04065745973182	-6.63150379137781	-6.31320302689158	-4.02346652547471	-4.35402910847773
-4.74645625859827	-5.63605722718293	0.218530151142471	-0.112717624131937	-0.654995752349948	-1.34376505139791
-7.25715750949751	-6.88167673804424	-8.32158198812129	-8.00058427954671	-3.84137413017456	-4.16929068154683
-6.98134615935446	-6.62165596435064	-5.9306923430816	-5.6078448431105	-4.29169034958588	-4.64387877865283
-6.81611361521635	-6.39286321975428	-6.34671849988977	-6.0970586320866	-3.69379148188693	-3.82415924198792
-6.75340859041861	-6.30489714495369	-8.17888214201112	-7.87963865969105	-2.7567299923176	-2.96425267297739
-5.63461339431305	-5.28385911383658	-5.70110406102376	-5.37240918715772	-3.99684992957954	-4.40411711822613
-7.04745644192062	-6.70668453847689	-5.64368759993847	-5.28288720236358	-3.5159168203035	-3.91827801561618
-7.77262506189246	-7.37272191012402	-6.51075277431344	-6.19696365312925	-3.84036148410446	-4.17780720236509
-7.58614174200655	-7.08963619423383	-7.99219101210775	-7.69423512737553	-5.53206375417757	-5.75824083763987
-7.01469307737281	-6.72138211075319	-6.05530443279492	-5.70138782581935	-3.30193211078938	-3.61848794175798
-6.24220781117523	-5.81025237828637	-4.64719727169382	-4.40286807019518	-2.99107809076621	-3.21947488868815
-7.1703987702296	-6.88728823531812	-8.82740410833741	-8.49905381042425	-2.87353662343905	-3.27789095679351
-6.72260755192584	-6.35987624824131	-5.64305730805784	-5.31406341367996	-3.87953948233404	-4.18295013704474
-8.55760641022763	-8.27940348042043	-8.40874884816644	-8.04340495362576	-3.48858244986348	-3.95789250347662
-8.54452294939386	-8.23615419401733	-5.99242577934497	-5.70738951949094	-3.78943424773365	-4.11385456264787
-6.26334317532628	-5.88569082853155	-5.69551452775265	-5.36616235215115	-4.50691510126668	-4.82336551261765
-7.52188447008222	-7.22708531404291	-7.37826943071385	-7.06911018833708	-4.07847221865008	-4.46715312123464
-6.24452941148407	-5.7966263974852	-8.9281417278172	-8.61568504464119	-5.00327925891413	-5.27430486549319
-6.98949654777757	-6.54046705136178	-4.36465251947803	-4.09400899362772	-3.84851429295804	-4.10235711517949
-6.4810111840582	-6.14543726841421	-5.59165006133706	-5.2534024418849	-3.57938118116583	-3.92249771628582
-6.8693084421715	-6.54534950871826	-10.3041604390006	-9.94953214090748	-4.50334992382169	-4.95428907744591
-7.93531999273859	-7.60238240192646	-9.38889160648264	-9.0857346712623	-5.1503419078362	-5.5215693246701
-6.80993335496188	-6.47074070489626	-4.04341326131351	-3.71835017039023	-3.55254128946606	-3.93781105307189
-7.28295349865897	-6.87309910499246	-8.77383089973363	-8.466054723404	-3.44535097063095	-3.71269307466417
-6.59731810216641	-6.16552474935652	-5.54124345482384	-5.18388573167951	-3.12706452914977	-3.49677353268345
-7.01688718316705	-6.67407619074089	-7.49938515620875	-7.15964672826617	-2.86437531837229	-3.18348961551037
-8.44643749924128	-8.07296172947597	-6.22898520233638	-5.92700260108973	-3.47770656877065	-3.77520244626469
-6.19464985610714	-5.89012120335567	-5.51898719805372	-5.18259665167662	-3.07872071752186	-3.44236940740926
-7.89968456268963	-7.58293525438319	-8.13674331812655	-7.82145731293252	-4.05398371673357	-4.40644522021933
-6.92132892271453	-6.67252884130834	-5.20708966243986	-4.87101978062217	-3.48560333324191	-3.8419678505429
-5.78035681700521	-5.46834814595231	-6.42993359618329	-6.080112033278	-2.71957590229161	-3.0609505162428
-6.64152003951421	-6.30965937565368	-5.83194688514038	-5.468102854026	-3.75529775623297	-4.16274387690529
-3.11701888737362	-3.12678079231509	-2.91039361427647	-3.60405380087877	-1.87525672155312	-1.94758633031628
-7.47844090299497	-7.14462255687906	-12.6290385516434	-12.2600968366104	-6.12715269700181	-6.53861161405807
-7.1711970306778	-6.88825389347084	-5.53062251761799	-5.21304401019041	-3.94064817746718	-4.31345423644327
-7.97255308882086	-7.65321610904937	-6.58370671190934	-6.257028198502	-3.35760347963126	-3.72867119662768
-7.82854973746854	-7.56088718764235	-7.74759603956661	-7.39943512686392	-4.51621749013487	-4.91348407668392
-6.89317813407267	-6.5636813116037	-4.39019856883889	-4.08718344730968	-2.36453611964133	-2.65705467875265
-6.690217476548	-6.38017574344749	-4.47599568513643	-4.24614110750472	-3.45439440861321	-3.70294578331495
-6.49950815583521	-6.21766299195626	-4.62211066185381	-4.29087305024243	-4.12074340219229	-4.42973695290688
-6.91090028407478	-6.53610640916946	-4.4555406788563	-4.13027142482187	-3.73643494631168	-4.09918263666679
-9.66075672181602	-9.29496143583866	-7.48643378062087	-7.16239220846844	-4.12917117315571	-4.46053932622196
-7.21258423105084	-6.80402484284718	-5.63398394130595	-5.35427573902339	-3.34967097613869	-3.66918590616436
-7.84538533681092	-7.51376262936256	-8.72367618322945	-8.36081673588351	-2.91111268079466	-3.31840774783633
-8.08493879099663	-7.70707711765422	-5.71379957655047	-5.41776943217491	-3.7271602543353	-4.07920892368684
